city,lat,lon,temp
Marseille,43.2961743,5.3699525,16.55
Cassis,43.2140359,5.5396318,16.37
Saintes Maries de la mer,43.4522771,4.4287172,16.14
Aigues Mortes,43.5658225,4.1912837,15.83
Collioure,42.52505,3.0831554,15.73
Bormes les Mimosas,43.1506968,6.3419285,15.18
La Rochelle,46.1591126,-1.1520434,14.77
Bayonne,43.4945144,-1.4736657,14.69
Biarritz,43.471143749999996,-1.552726590666314,14.62
Carcassonne,43.2130358,2.3491069,14.27
Aix en Provence,43.5298424,5.4474738,14.25
Avignon,43.9492493,4.8059012,14.23
Nimes,43.8374249,4.3600687,14.16
Toulouse,43.6044622,1.4442469,13.91
Montauban,44.0175835,1.3549991,13.27
Uzes,44.0121279,4.4196718,13.05
St Malo,48.649518,-2.0260409,12.37
Grenoble,45.1875602,5.7357819,12.37
Le Havre,49.4938975,0.1079732,12.23
Lyon,45.7578137,4.8320114,12.16
Paris,48.8588897,2.3200410217200766,11.69
Mont Saint Michel,48.6359541,-1.511459954959514,11.57
Bayeux,49.2764624,-0.7024738,11.2
Lille,50.6365654,3.0635282,10.71
Rouen,49.4404591,1.0939658,10.48
Amiens,49.8941708,2.2956951,10.4
Besancon,47.2380222,6.0243622,10.28
Annecy,45.8992348,6.1288847,9.68
Dijon,47.3215806,5.0414701,9.38
Gorges du Verdon,43.7496562,6.3285616,9.19
Eguisheim,48.0447968,7.3079618,9.15
Colmar,48.0777517,7.3579641,9.06
Strasbourg,48.584614,7.7507127,8.99
Ariege,42.9455368,1.4065544156065486,8.12
Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,6.11
